Rank,Driver,Tier,BestLapTime,GaptoFirstPlace,GaptoPreviousPosition,GapinPercentagetoFirstPlace
1,ThrottleGeist,T1,1:44.739,0.000,+00.000,0.000%
2,Joshuajack04,T1,1:45.456,+00.717,+00.717,0.685%
3,TomNitro,T1,1:45.506,+00.767,+00.050,0.732%
4,Lucas,T1,1:45.630,+00.891,+00.124,0.851%
5,Klinge Kachow,T1,1:45.648,+00.909,+00.018,0.868%
6,Dr Russian,T1,1:45.692,+00.953,+00.044,0.910%
7,GT Ahmed,T1,1:45.725,+00.986,+00.033,0.941%
8,Mathiology,T2,1:45.838,+01.099,+00.113,1.049%
9,Cajca,T1,1:45.876,+01.137,+00.038,1.085%
10,racecardriver,T1,1:45.915,+01.176,+00.039,1.123%
11,DogiStyle61,T1,1:45.991,+01.252,+00.076,1.195%
12,KyserS,T2,1:46.094,+01.355,+00.103,1.294%
13,Balla J,T2,1:46.311,+01.572,+00.217,1.501%
14,Evotuned,T1,1:46.382,+01.643,+00.071,1.569%
15,epsilon-delta,T1,1:46.397,+01.658,+00.015,1.583%
16,Mike,T1,1:46.503,+01.764,+00.106,1.684%
17,Bube,T1,1:46.678,+01.939,+00.175,1.851%
18,KungLars,T2,1:46.691,+01.952,+00.013,1.864%
19,Daunting_Eyes,T2,1:46.800,+02.061,+00.109,1.968%
20,Cercas,T2,1:46.812,+02.073,+00.012,1.979%
21,Hamilton,T2,1:46.872,+02.133,+00.060,2.036%
22,Rocky,T2,1:47.185,+02.446,+00.313,2.335%
23,ElKochiCoach,T1,1:47.234,+02.495,+00.049,2.382%
24,Balderzao,T2,1:47.293,+02.554,+00.059,2.438%
25,Max Power,T2,1:47.713,+02.974,+00.420,2.840%
26,Gumb,T2,1:47.869,+03.130,+00.156,2.988%
27,Rynzzor,T2,1:48.121,+03.382,+00.252,3.229%
28,LBerd,T2,1:48.634,+03.895,+00.513,3.719%
29,Drg,T2,1:48.645,+03.906,+00.011,3.730%
